timestamp,year,Game of the Year,Best Independent Game,Best Narrative,Best Art Direction,Best Soundtrack,Best Multiplayer,Best Game Direction
2026-09-10T20:07:28.447660,2025,Game2025_1789081648,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:28.821821,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081648",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:29.254036,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:29.679325,2025,Roundtrip_1789081649321,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:30.060921,2025,Clair Obscur: Expedition 33 S2_1789081649718,Blue Prince S2_1789081649718,Silent Hill f S2_1789081649718,Ghost of Yōtei S2_1789081649718,Hades II S2_1789081649718,Arc Raiders S2_1789081649718,Death Stranding 2 S2_1789081649718
2026-09-10T20:07:30.431102,2024,Balatro S3_1789081650084,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081650084,NaN,NaN
2026-09-10T20:09:45.680135,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:09:46.064253,2025,TestGame_1789081785703,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:46.437814,2025,CsvTestGame_1789081786085,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:47.526507,2025,PartialNull_1789081787169,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:47.894023,2025,PartialNan_1789081787549,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:48.274717,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:48.625613,2025,FlatSchema_1789081788294,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:51.418207,2025,"TestGame, With Comma 1789081791",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:51.814996,2025,"Game ""Quoted"" 1789081791",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:52.190357,2025,Ghost of Yōtei 1789081791,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:52.585206,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:52.602989,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:52.621868,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:52.661476,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:52.679428,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:53.048723,2025,OneOfSeven_1789081792,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:53.426276,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:09:53.794055,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:54.174165,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:54.564652,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:54.593644,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:55.572615,2025,E2E_GOTY_Pick_1789081795215,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:09:55.963030,2025,Partial_CSV_Pick_1789081795609,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:56.353921,2025,Full_1789081795982_Game_of_the_Year,Full_1789081795982_Best_Independent_Game,Full_1789081795982_Best_Narrative,Full_1789081795982_Best_Art_Direction,Full_1789081795982_Best_Soundtrack,Full_1789081795982_Best_Multiplayer,Full_1789081795982_Best_Game_Direction
2026-09-10T20:09:56.737823,2024,Toggle_1789081796383,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:58.079800,2014,Game2014_1789081797,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:58.118323,2020,Game2020_1789081797,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:58.170945,2025,Game2025_1789081797,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:58.546319,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081798",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:58.969247,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:59.391260,2025,Roundtrip_1789081799031,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:09:59.785856,2025,Clair Obscur: Expedition 33 S2_1789081799442,Blue Prince S2_1789081799442,Silent Hill f S2_1789081799442,Ghost of Yōtei S2_1789081799442,Hades II S2_1789081799442,Arc Raiders S2_1789081799442,Death Stranding 2 S2_1789081799442
2026-09-10T20:10:00.145647,2024,Balatro S3_1789081799812,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081799812,NaN,NaN
2026-09-10T20:15:04.533351,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:15:04.906467,2025,TestGame_1789082104561,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:05.285661,2025,CsvTestGame_1789082104928,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:06.366740,2025,PartialNull_1789082106035,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:06.742002,2025,PartialNan_1789082106394,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:07.101421,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:07.462168,2025,FlatSchema_1789082107120,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:10.211130,2025,"TestGame, With Comma 1789082109",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:10.599160,2025,"Game ""Quoted"" 1789082110",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:10.967651,2025,Ghost of Yōtei 1789082110,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:11.327400,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:11.349743,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:11.368615,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:11.388219,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:11.407729,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:11.814352,2025,OneOfSeven_1789082111,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:12.180817,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:15:12.561266,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:12.928397,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:13.285032,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:13.306049,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:14.232374,2025,E2E_GOTY_Pick_1789082113870,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:15:14.622342,2025,Partial_CSV_Pick_1789082114262,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:15.305698,2025,Full_1789082114646_Game_of_the_Year,Full_1789082114646_Best_Independent_Game,Full_1789082114646_Best_Narrative,Full_1789082114646_Best_Art_Direction,Full_1789082114646_Best_Soundtrack,Full_1789082114646_Best_Multiplayer,Full_1789082114646_Best_Game_Direction
2026-09-10T20:15:16.002900,2024,Toggle_1789082115334,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:17.449854,2014,Game2014_1789082117,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:17.476840,2020,Game2020_1789082117,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:17.497992,2025,Game2025_1789082117,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:17.879394,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789082117",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:18.297769,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:18.709835,2025,Roundtrip_1789082118370,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:15:19.119462,2025,Clair Obscur: Expedition 33 S2_1789082118752,Blue Prince S2_1789082118752,Silent Hill f S2_1789082118752,Ghost of Yōtei S2_1789082118752,Hades II S2_1789082118752,Arc Raiders S2_1789082118752,Death Stranding 2 S2_1789082118752
2026-09-10T20:15:19.506188,2024,Balatro S3_1789082119150,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789082119150,NaN,NaN
2026-09-10T20:15:57.283641,2025,VictoryAuditGame,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:38.022372,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:36:38.379186,2025,TestGame_1789083398042,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:38.772699,2025,CsvTestGame_1789083398399,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:39.905219,2025,PartialNull_1789083399550,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:40.310160,2025,PartialNan_1789083399930,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:40.674182,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:41.032360,2025,FlatSchema_1789083400695,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:43.660458,2025,"TestGame, With Comma 1789083403",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.060027,2025,"Game ""Quoted"" 1789083403",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.439528,2025,Ghost of Yōtei 1789083404,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.826321,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.850140,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.872443,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.899967,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:44.920439,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:45.322115,2025,OneOfSeven_1789083404,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:45.687328,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:36:46.058385,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:46.415803,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:46.808254,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:46.833685,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:47.715712,2025,E2E_GOTY_Pick_1789083407374,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:36:48.125241,2025,Partial_CSV_Pick_1789083407751,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:48.823389,2025,Full_1789083408146_Game_of_the_Year,Full_1789083408146_Best_Independent_Game,Full_1789083408146_Best_Narrative,Full_1789083408146_Best_Art_Direction,Full_1789083408146_Best_Soundtrack,Full_1789083408146_Best_Multiplayer,Full_1789083408146_Best_Game_Direction
2026-09-10T20:36:49.518794,2024,Toggle_1789083408850,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:50.876525,2014,Game2014_1789083410,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:50.902305,2020,Game2020_1789083410,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:50.923566,2025,Game2025_1789083410,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:51.331371,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789083410",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:51.730908,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:52.154463,2025,Roundtrip_1789083411789,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:36:52.558461,2025,Clair Obscur: Expedition 33 S2_1789083412194,Blue Prince S2_1789083412194,Silent Hill f S2_1789083412194,Ghost of Yōtei S2_1789083412194,Hades II S2_1789083412194,Arc Raiders S2_1789083412194,Death Stranding 2 S2_1789083412194
2026-09-10T20:36:52.945236,2024,Balatro S3_1789083412588,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789083412588,NaN,NaN
2026-09-10T20:48:41.168569,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:48:41.535391,2025,TestGame_1789084121186,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:41.927422,2025,CsvTestGame_1789084121559,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:43.055919,2025,PartialNull_1789084122690,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:43.443777,2025,PartialNan_1789084123082,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:43.830560,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:44.197883,2025,FlatSchema_1789084123852,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:46.895200,2025,"TestGame, With Comma 1789084126",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:47.268902,2025,"Game ""Quoted"" 1789084126",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:47.637068,2025,Ghost of Yōtei 1789084127,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.009819,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.033554,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.089182,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.115076,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.139510,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.519560,2025,OneOfSeven_1789084128,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:48.892406,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:48:49.263625,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:49.641109,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:50.007936,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:50.038081,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:50.928239,2025,E2E_GOTY_Pick_1789084130565,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:48:51.328031,2025,Partial_CSV_Pick_1789084130957,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:51.713204,2025,Full_1789084131351_Game_of_the_Year,Full_1789084131351_Best_Independent_Game,Full_1789084131351_Best_Narrative,Full_1789084131351_Best_Art_Direction,Full_1789084131351_Best_Soundtrack,Full_1789084131351_Best_Multiplayer,Full_1789084131351_Best_Game_Direction
2026-09-10T20:48:52.098458,2024,Toggle_1789084131742,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:53.470697,2014,Game2014_1789084133,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:53.511953,2020,Game2020_1789084133,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:53.547216,2025,Game2025_1789084133,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:53.940600,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789084133",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:54.372950,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:54.794791,2025,Roundtrip_1789084134433,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:48:55.226594,2025,Clair Obscur: Expedition 33 S2_1789084134853,Blue Prince S2_1789084134853,Silent Hill f S2_1789084134853,Ghost of Yōtei S2_1789084134853,Hades II S2_1789084134853,Arc Raiders S2_1789084134853,Death Stranding 2 S2_1789084134853
2026-09-10T20:48:55.592287,2024,Balatro S3_1789084135256,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789084135256,NaN,NaN
2026-09-10T20:50:09.799410,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:50:10.474731,2025,TestGame_1789084209820,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:10.879426,2025,CsvTestGame_1789084210500,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:12.323766,2025,PartialNull_1789084211973,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:12.730436,2025,PartialNan_1789084212364,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:13.117269,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:13.485974,2025,FlatSchema_1789084213142,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:16.117271,2025,"TestGame, With Comma 1789084215",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:16.796665,2025,"Game ""Quoted"" 1789084216",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:17.501383,2025,Ghost of Yōtei 1789084216,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:18.187233,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:18.209647,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:18.232465,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:18.256648,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:18.278492,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:18.699556,2025,OneOfSeven_1789084218,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:19.067432,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:50:19.426368,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:19.818666,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:20.187278,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:20.209668,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:21.212517,2025,E2E_GOTY_Pick_1789084220851,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:50:21.580790,2025,Partial_CSV_Pick_1789084221241,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:21.939124,2025,Full_1789084221603_Game_of_the_Year,Full_1789084221603_Best_Independent_Game,Full_1789084221603_Best_Narrative,Full_1789084221603_Best_Art_Direction,Full_1789084221603_Best_Soundtrack,Full_1789084221603_Best_Multiplayer,Full_1789084221603_Best_Game_Direction
2026-09-10T20:50:22.335434,2024,Toggle_1789084221970,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:23.695771,2014,Game2014_1789084223,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:23.717348,2020,Game2020_1789084223,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:23.743257,2025,Game2025_1789084223,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:24.106290,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789084223",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:24.566561,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:25.318092,2025,Roundtrip_1789084224629,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:50:25.716221,2025,Clair Obscur: Expedition 33 S2_1789084225363,Blue Prince S2_1789084225363,Silent Hill f S2_1789084225363,Ghost of Yōtei S2_1789084225363,Hades II S2_1789084225363,Arc Raiders S2_1789084225363,Death Stranding 2 S2_1789084225363
2026-09-10T20:50:26.401754,2024,Balatro S3_1789084225749,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789084225749,NaN,NaN
2026-09-10T20:52:13.859349,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:52:14.567525,2025,TestGame_1789084333881,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:14.975710,2025,CsvTestGame_1789084334606,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:16.090135,2025,PartialNull_1789084335724,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:16.527779,2025,PartialNan_1789084336143,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:16.918302,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:17.330883,2025,FlatSchema_1789084336955,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:20.055024,2025,"TestGame, With Comma 1789084339",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:20.448430,2025,"Game ""Quoted"" 1789084340",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:20.837068,2025,Ghost of Yōtei 1789084340,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:21.225800,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:21.250139,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:21.284873,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:21.308931,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:21.347394,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:21.754071,2025,OneOfSeven_1789084341,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:22.156982,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:52:22.532106,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:22.920079,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:23.287692,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:23.323295,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:24.245305,2025,E2E_GOTY_Pick_1789084343882,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:52:24.610502,2025,Partial_CSV_Pick_1789084344273,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:24.999073,2025,Full_1789084344633_Game_of_the_Year,Full_1789084344633_Best_Independent_Game,Full_1789084344633_Best_Narrative,Full_1789084344633_Best_Art_Direction,Full_1789084344633_Best_Soundtrack,Full_1789084344633_Best_Multiplayer,Full_1789084344633_Best_Game_Direction
2026-09-10T20:52:25.409302,2024,Toggle_1789084345039,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:26.802337,2014,Game2014_1789084346,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:26.839016,2020,Game2020_1789084346,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:26.861853,2025,Game2025_1789084346,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:27.236996,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789084346",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:27.677264,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:28.126560,2025,Roundtrip_1789084347739,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:52:28.547257,2025,Clair Obscur: Expedition 33 S2_1789084348175,Blue Prince S2_1789084348175,Silent Hill f S2_1789084348175,Ghost of Yōtei S2_1789084348175,Hades II S2_1789084348175,Arc Raiders S2_1789084348175,Death Stranding 2 S2_1789084348175
2026-09-10T20:52:28.965405,2024,Balatro S3_1789084348577,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789084348577,NaN,NaN
2026-09-10T20:57:56.634279,2025,Clair Obscur: Expedition 33 S2_1789084676218,Blue Prince S2_1789084676218,Silent Hill f S2_1789084676218,Ghost of Yōtei S2_1789084676218,Hades II S2_1789084676218,Arc Raiders S2_1789084676218,Death Stranding 2 S2_1789084676218
2026-09-10T20:57:57.007695,2024,Balatro S3_1789084676667,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789084676667,NaN,NaN
2026-09-10T20:58:06.856932,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:58:07.211589,2025,TestGame_1789084686876,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:07.584888,2025,CsvTestGame_1789084687233,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:08.744821,2025,PartialNull_1789084688387,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:09.149990,2025,PartialNan_1789084688781,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:09.537822,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:09.906189,2025,FlatSchema_1789084689558,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:12.595740,2025,"TestGame, With Comma 1789084692",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:12.987296,2025,"Game ""Quoted"" 1789084692",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:13.662463,2025,Ghost of Yōtei 1789084693,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:14.070247,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:14.116498,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:14.140539,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:14.168642,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:14.209659,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:14.596518,2025,OneOfSeven_1789084694,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:58:15.003554,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
